exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Cable Rope Overhead Tricep Extension,Novice,Triceps,Cable,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Cable Reverse Grip Tricep Pushdown,Novice,Triceps,Cable,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Unilateral,Bodybuilding
EZ Bar Reverse Grip Bicep Curl,Novice,Forearms,EZ Bar,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Stability Ball Single Arm Dumbbell Chest Press,Novice,Chest,Dumbbell,Supine,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Suspension Face Pull,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Unsorted*
Landmine V Grip Row,Novice,Back,Landmine,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Dumbbell Thruster,Novice,Quadriceps,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Thruster,Novice,Quadriceps,Dumbbell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Full Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Landmine Row,Novice,Back,Landmine,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Superband Assisted Bar Wide Grip Pull Up,Novice,Back,Superband,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Pull,Upper Body,Pull,Compound,Bilateral,Calisthenics
Stability Ball Prone Cobra,Novice,Back,Stability Ball,Prone,Double Arm,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Spinal Extension,Upper Body,Unsorted*,Isolation,Bilateral,Postural
Single Arm Dumbbell Overhead Carry,Intermediate,Shoulders,Dumbbell,Walking,Single Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Loaded Carry,Full Body,Other,Compound,Unilateral,Unsorted*
Double Dumbbell Pendlay Row,Novice,Back,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Cable Straight Bar Pullover,Novice,Back,Cable,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Cable Half Kneeling Lat Pulldown,Novice,Back,Cable,Half Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Cable Half Kneeling Low Row,Novice,Back,Cable,Half Kneeling,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Single Arm Suspension Low Row,Novice,Back,Suspension Trainer,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Unsorted*
Double Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Pendlay Row,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Barbell Bench Press,Novice,Chest,Barbell,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Powerlifting
Cable Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Cable,Single Leg Standing Bent Knee,No Arms,Continuous,Hand Assisted,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Unilateral,Unsorted*
Cable Hip Rotation,Novice,Glutes,Cable,Standing,No Arms,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip External Rotation,Lower Body,Other,Isolation,Bilateral,Unsorted*
Barbell Bicep Curl,Novice,Biceps,Barbell,Standing,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Barbell Overhead Press,Novice,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Push Press,Novice,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Unsorted*
Barbell Bent Over Row,Novice,Back,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Landmine Meadows Row,Novice,Back,Landmine,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Cable Straight Bar Seated Bicep Curl,Novice,Biceps,Cable,Seated,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Cable Rope Bench Skull Crusher,Novice,Triceps,Cable,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Elbow Extension,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Dumbbell Seated Cuban Press,Novice,Shoulders,Dumbbell,Seated,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Unilateral,Unsorted*
Bodyweight Wall Facing Handstand,Novice,Shoulders,Bodyweight,Inverted,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Isometric Hold,Upper Body,Other,Compound,Bilateral,Calisthenics
Parallette Close Grip Push Up,Novice,Triceps,Parallette Bars,Prone,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette Wide Push Up,Novice,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Calisthenics
Barbell Front Raise,Novice,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder Flexion,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Cable Front Raise,Novice,Shoulders,Cable,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder Flexion,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Parallette Side Plank,Intermediate,Abdominals,Parallette Bars,Side Plank,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Cable Straight Bar Front Raise,Novice,Shoulders,Cable,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder Flexion,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Barbell Close Grip Bench Press,Novice,Triceps,Barbell,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Cable Bicep Curl,Novice,Biceps,Cable,Standing,Single Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Cable Shotgun Row,Novice,Back,Cable,Staggered Stance,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Cable Half Kneeling Face Pull,Novice,Shoulders,Cable,Half Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Unsorted*
Stability Ball Double Dumbbell W Raise,Novice,Shoulders,Stability Ball,Prone,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Isolation,Bilateral,Unsorted*
Single Arm Kettlebell Bent Over Row,Novice,Back,Kettlebell,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Kettlebell Gorilla Row,Novice,Back,Kettlebell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Kettlebell Alternating Halo,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Continuous,No Elevation,Single Exercise,Rotational,Upper Body,Pull,Compound,Bilateral,Mobility
Single Arm Kettlebell Overhead Press,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Kettlebell Horn Grip Bicep Curl,Novice,Biceps,Kettlebell,Standing,Double Arm,Continuous,Horn Grip,Continuous,No Elevation,Single Exercise,Elbow Flexion,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Double Dumbbell Prone Row,Novice,Back,Dumbbell,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Seated Floor,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Prone Row,Novice,Back,Barbell,Prone,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Barbell Incline Bench Press,Novice,Chest,Barbell,Seated,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Tall Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Double Dumbbell Incline Bench Prone Y Raise,Novice,Shoulders,Dumbbell,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Unsorted*,Upper Body,Pull,Pull,Bilateral,Postural
Suspension Face Pull to Overhead Press,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Combo Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Double Dumbbell Reverse Grip Bench Press,Novice,Chest,Dumbbell,Supine,Double Arm,Continuous,Supinated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Cable Seated Floor Lat Pulldown,Novice,Back,Cable,Seated Floor,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Pull,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Carry,Beginner,Forearms,Dumbbell,Walking,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Loaded Carry,Full Body,Other,Compound,Bilateral,Unsorted*
Single Arm Resistance Band Half Kneeling Cuban Press,Novice,Shoulders,Resistance Band,Half Kneeling,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Unilateral,Unsorted*
Double Dumbbell Cuban Press,Novice,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Double Kettlebell Pendlay Row,Novice,Back,Kettlebell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Kettlebell,Half Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Kettlebell Push Press,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Double Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Unsorted*
Double Dumbbell Glute Bridge Isometric Floor Press,Novice,Chest,Dumbbell,Bridge,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Full Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Alternating Double Kettlebell Z Press,Novice,Shoulders,Kettlebell,Seated Floor,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Burpee,Intermediate,Chest,Bodyweight,Standing,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Horizontal Push,Full Body,Push,Compound,Bilateral,Unsorted*
Double Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Full Body,Push,Compound,Bilateral,Unsorted*
Alternating Single Arm Dumbbell Devil Press,Advanced,Shoulders,Dumbbell,Standing,Single Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Full Body,Push,Compound,Unilateral,Unsorted*
Double Kettlebell Seesaw Z Press,Novice,Shoulders,Kettlebell,Seated Floor,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Plate Lu Raise,Novice,Shoulders,Weight Plate,Standing,Double Arm,Continuous,Other,Continuous,No Elevation,Single Exercise,Shoulder Abduction,Upper Body,Unsorted*,Compound,Bilateral,Mobility
Plate Steering Wheel,Novice,Shoulders,Weight Plate,Standing,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Upper Body,Unsorted*,Compound,Bilateral,Unsorted*
Suspension Cuban Press,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
Barbell Decline Bench Press,Novice,Chest,Barbell,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Kettlebell Half Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,Half Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Continuous,No Elevation,Single Exercise,Rotational,Upper Body,Pull,Compound,Unilateral,Mobility
Kettlebell Tall Kneeling Alternating Halo,Novice,Shoulders,Kettlebell,Tall Kneeling,Double Arm,Continuous,Bottoms Up Horn Grip,Continuous,No Elevation,Single Exercise,Rotational,Upper Body,Pull,Compound,Bilateral,Mobility
Bodyweight Rolling Squat Burpee,Advanced,Chest,Bodyweight,Standing,Double Arm,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Unsorted*,Full Body,Push,Compound,Bilateral,Plyometric
Kettlebell Tall Kneeling Alternating Hip to Halo,Novice,Shoulders,Kettlebell,Tall Kneeling,Double Arm,Alternating,Bottoms Up Horn Grip,Continuous,No Elevation,Single Exercise,Rotational,Upper Body,Pull,Compound,Bilateral,Mobility
Barbell Seated Overhead Press,Novice,Shoulders,Barbell,Seated,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Dumbbell Crush Grip Z Press,Novice,Shoulders,Dumbbell,Seated Floor,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Half Kneeling Overhead Press,Novice,Shoulders,Barbell,Half Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Bodybuilding
Barbell Tall Kneeling Overhead Press,Novice,Shoulders,Barbell,Tall Kneeling,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Bilateral,Bodybuilding
Barbell Bodyweight Row,Novice,Back,Barbell,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Row,Novice,Back,Gymnastic Rings,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Calisthenics
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Quadriceps,Sliders,Standing,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Knee Dominant,Lower Body,Push,Compound,Contralateral,Bodybuilding
Ring Bulgarian Row,Novice,Back,Gymnastic Rings,Supine,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Bilateral,Calisthenics
Alternating Double Kettlebell Rotational Overhead Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Upper Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Push Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Continuous,No Elevation,Single Exercise,Vertical Push,Upper Body,Push,Compound,Unilateral,Unsorted*
Cable Tall Kneeling Face Pull,Novice,Shoulders,Cable,Tall Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,Upper Body,Pull,Compound,Bilateral,Unsorted*
